4948,RAJAS INTERNATIONAL INSTITUTE OF TECHNOLOGY FOR WOMEN
1212,RAJIV GANDHI COLLEGE OF ENGINEERING
4678,RAMCO INSTITUTE OF TECHNOLOGY
2737,RANGANATHAN ENGINEERING COLLEGE
1511,RANIPPETTAI ENGINEERING COLLEGE
2329,RATHINAM TECHNICAL CAMPUS
4676,RENGANAYAGI VARATHARAJ COLLEGE OF ENGINEERING
3847,ROEVER COLLEGE OF ENGINEERING AND TECHNOLOGY
3817,ROEVER ENGINEERING COLLEGE
4670,ROHINI COLLEGE OF ENGINEERING AND TECHNOLOGY
1437,RRASE COLLEGE OF ENGINEERING
2776,RVS TECHNICAL CAMPUS - COIMBATORE
2663,S R S COLLEGE OF ENGINEERING AND TECHNOLOGY
2654,S V S COLLEGE OF ENGINEERING
1114,S.A. ENGINEERING COLLEGE
1512,S.K.P. ENGINEERING COLLEGE
1213,S.K.R. ENGINEERING COLLEGE
1439,S.R.I COLLEGE OF ENGINEERING AND TECHNOLOGY
2614,S.S.M. COLLEGE OF ENGINEERING
4967,S.VEERASAMY CHETTIAR COLLEGE OF ENGINEERING AND TECHNOLOGY
5915,SACS M.A.V.M.M ENGINEERING COLLEGE
1214,SAKTHI MARIAMMAN ENGINEERING COLLEGE
2659,SALEM COLLEGE OF ENGINEERING AND TECHNOLOGY
1124,SAMS COLLEGE OF ENGINEERING AND TECHNOLOGY
2616,SAPTHAGIRI COLLEGE OF ENGINEERING
3819,SARANATHAN COLLEGE OF ENGINEERING
1515,SARASWATHI VELU COLLEGE OF ENGINEERING
1449,SARASWATHY COLLEGE OF ENGINEERING & TECHNOLOGY
4968,SARDAR RAJA COLLEGE OF ENGINEERING
2738,SASURIE ACADEMY OF ENGINEERING
2717,SASURIE COLLEGE OF ENGINEERING
4943,SATYAM COLLEGE OF ENGINEERING AND TECHNOLOGY
1216,SAVEETHA ENGINEERING COLLEGE
5930,SBM COLLEGE OF ENGINEERING AND TECHNOLOGY
4969,SCAD COLLEGE OF ENGINEERING AND TECHNOLOGY
2358,SCAD INSTITUTE OF TECHNOLOGY
2627,SELVAM COLLEGE OF TECHNOLOGY
3859,SEMBODAI RUKMANI VARATHARAJAN ENGINEERING COLLEGE
2629,SENGUNTHAR COLLEGE OF ENGINEERING
2617,SENGUNTHAR ENGINEERING COLLEGE
4917,SETHU INSTITUTE OF TECHNOLOGY (AUTONOMOUS)
3918,SHANMUGANATHAN ENGINEERING COLLEGE
3853,SHIVANI COLLEGE OF ENGINEERING AND TECHNOLOGY
3844,SHIVANI ENGINEERING COLLEGE
2346,SHREE SATHYAM COLLEGE OF ENGINEERING AND TECHNOLOGY
2747,SHREE VENKATESHWARA HI-TECH ENGINEERING COLLEGE
2683,SHREENIVASA ENGINEERING COLLEGE
1417,SHRI ANDAL ALAGAR COLLEGE OF ENGINEERING
3802,SHRI ANGALAMMAN COLLEGE OF ENGINEERING AND TECHNOLOGY
1521,SHRI SAPTHAGIRI INSTITUTE OF TECHNOLOGY
1157,SHRI SITHESWARAR ENGINEERING COLLEGE
3760,SIR ISSAC NEWTON COLLEGE OF ENGINEERING AND TECHNOLOGY
4938,SIVAJI COLLEGE OF ENGINEERING AND TECHNOLOGY
1313,SMK FOMRA INSTITUTE OF TECHNOLOGY
3451,SMR EAST COAST COLLEGE OF ENGINEERING AND TECHNOLOGY
2734,SNS COLLEGE OF ENGINEERING
2726,SNS COLLEGE OF TECHNOLOGY (AUTONOMOUS)
5914,SOLAMALAI COLLEGE OF ENGINEERING
2618,SONA COLLEGE OF TECHNOLOGY (AUTONOMOUS)
2371,SPECTRUM COLLEGE OF TECHNOLOGY
1438,SREE KRISHNA COLLEGE OF ENGINEERING
2673,SREE SAKTHI ENGINEERING COLLEGE
1242,SREE SASTHA COLLEGE OF ENGINEERING
1217,SREE SASTHA INSTITUTE OF ENGINEERING AND TECHNOLOGY
4970,SREE SOWDAMBIKA COLLEGE OF ENGINEERING
2767,SRG ENGINEERING COLLEGE
1433,SRI ARAVINDAR ENGINEERING COLLEGE
1513,SRI BALAJI CHOCKALINGAM ENGINEERING COLLEGE
3852,SRI BHARATHI ENGINEERING COLLEGE FOR WOMEN
2739,SRI ESHWAR COLLEGE OF ENGINEERING
1150,SRI JAYARAM INSTITUTE OF ENGINEERING AND TECHNOLOGY
1526,SRI KRISHNA COLLEGE OF ENGINEERING
2718,SRI KRISHNA COLLEGE OF ENGINEERING & TECHNOLOGY
2722,SRI KRISHNA COLLEGE OF TECHNOLOGY
1427,SRI KRISHNA ENGINEERING COLLEGE
1335,SRI KRISHNA INSTITUTE OF TECHNOLOGY
1418,SRI LAKSHMI AMMAL ENGINEERING COLLEGE
1218,SRI MUTHUKUMARAN INSTITUTE OF TECHNOLOGY
1514,SRI NANDHANAM COLLEGE OF ENGINEERING AND TECHNOLOGY
5502,SRI RAAJA RAAJAN COLLEGE OF ENGINEERING AND TECHNOLOGY
3454,SRI RAMAKRISHNA COLLEGE OF ENGINEERING
2719,SRI RAMAKRISHNA ENGINEERING COLLEGE (AUTONOMOUS)
2725,SRI RAMAKRISHNA INSTITUTE OF TECHNOLOGY (AUTONOMOUS)
2754,SRI RAMANATHAN ENGINEERING COLLEGE
